شناسه‌ی عضو,شناسه‌ی بخش,ماه,ساعت کاری
810,1,1,20
810,1,2,13
810,1,3,23
810,1,4,25
810,1,5,14
810,1,6,17
810,1,7,33
810,1,8,19
810,1,9,13
810,1,10,24
810,1,11,16
810,1,12,18
284,1,1,25
284,1,2,50
284,1,3,25
284,1,4,23
284,1,5,33
284,1,6,27
284,1,7,46
284,1,8,31
284,1,9,36
284,1,10,26
284,1,11,36
284,1,12,44
175,1,1,51
175,1,2,36
175,1,3,42
175,1,4,49
175,1,5,46
175,1,6,57
175,1,7,46
175,1,8,57
175,1,9,50
175,1,10,43
175,1,11,42
175,1,12,46
436,1,1,48
436,1,2,53
436,1,3,46
436,1,4,40
436,1,5,47
436,1,6,40
436,1,7,51
436,1,8,46
436,1,9,33
436,1,10,45
436,1,11,47
436,1,12,31
289,1,1,28
289,1,2,38
289,1,3,26
289,1,4,31
289,1,5,33
289,1,6,25
289,1,7,20
289,1,8,33
289,1,9,34
289,1,10,27
289,1,11,23
289,1,12,19
807,1,1,19
807,1,2,23
807,1,3,44
807,1,4,19
807,1,5,26
807,1,6,26
807,1,7,36
807,1,8,24
807,1,9,22
807,1,10,21
807,1,11,18
807,1,12,25
871,1,1,38
871,1,2,68
871,1,3,40
871,1,4,46
871,1,5,55
871,1,6,58
871,1,7,39
871,1,8,37
871,1,9,48
871,1,10,57
871,1,11,41
871,1,12,39
830,1,1,35
830,1,2,50
830,1,3,46
830,1,4,44
830,1,5,41
830,1,6,45
830,1,7,56
830,1,8,59
830,1,9,29
830,1,10,46
830,1,11,33
830,1,12,38
735,1,1,26
735,1,2,28
735,1,3,32
735,1,4,40
735,1,5,37
735,1,6,42
735,1,7,28
735,1,8,34
735,1,9,18
735,1,10,29
735,1,11,41
735,1,12,32
508,1,1,36
508,1,2,41
508,1,3,35
508,1,4,44
508,1,5,37
508,1,6,34
508,1,7,48
508,1,8,40
508,1,9,24
508,1,10,54
508,1,11,44
508,1,12,36
67,1,1,27
67,1,2,28
67,1,3,33
67,1,4,35
67,1,5,20
67,1,6,36
67,1,7,38
67,1,8,37
67,1,9,37
67,1,10,27
67,1,11,31
67,1,12,36
34,1,1,38
34,1,2,32
34,1,3,50
34,1,4,38
34,1,5,53
34,1,6,32
34,1,7,41
34,1,8,32
34,1,9,38
34,1,10,36
34,1,11,46
34,1,12,41
997,1,1,31
997,1,2,27
997,1,3,31
997,1,4,46
997,1,5,20
997,1,6,57
997,1,7,31
997,1,8,43
997,1,9,38
997,1,10,30
997,1,11,40
997,1,12,24
853,1,1,64
853,1,2,77
853,1,3,58
853,1,4,75
853,1,5,65
853,1,6,53
853,1,7,50
853,1,8,43
853,1,9,63
853,1,10,60
853,1,11,47
853,1,12,49
164,1,1,39
164,1,2,37
164,1,3,31
164,1,4,39
164,1,5,43
164,1,6,48
164,1,7,34
164,1,8,34
164,1,9,60
164,1,10,25
164,1,11,33
164,1,12,36
357,1,1,39
357,1,2,44
357,1,3,32
357,1,4,23
357,1,5,49
357,1,6,25
357,1,7,47
357,1,8,40
357,1,9,31
357,1,10,28
357,1,11,34
357,1,12,38
580,1,1,28
580,1,2,25
580,1,3,29
580,1,4,46
580,1,5,29
580,1,6,41
580,1,7,60
580,1,8,43
580,1,9,33
580,1,10,33
580,1,11,46
580,1,12,35
525,1,1,26
525,1,2,13
525,1,3,17
525,1,4,25
525,1,5,28
525,1,6,25
525,1,7,30
525,1,8,13
525,1,9,17
525,1,10,19
525,1,11,13
525,1,12,22
662,1,1,32
662,1,2,40
662,1,3,35
662,1,4,32
662,1,5,30
662,1,6,40
662,1,7,27
662,1,8,39
662,1,9,57
662,1,10,34
662,1,11,48
662,1,12,51
736,1,1,8
736,1,2,12
736,1,3,8
736,1,4,10
736,1,5,19
736,1,6,13
736,1,7,11
736,1,8,21
736,1,9,7
736,1,10,14
736,1,11,12
736,1,12,18
644,1,1,24
644,1,2,26
644,1,3,30
644,1,4,18
644,1,5,26
644,1,6,17
644,1,7,20
644,1,8,15
644,1,9,27
644,1,10,29
644,1,11,39
644,1,12,24
9,1,1,12
9,1,2,22
9,1,3,21
9,1,4,31
9,1,5,10
9,1,6,28
9,1,7,15
9,1,8,29
9,1,9,27
9,1,10,19
9,1,11,24
9,1,12,15
844,1,1,28
844,1,2,35
844,1,3,29
844,1,4,18
844,1,5,33
844,1,6,31
844,1,7,36
844,1,8,23
844,1,9,37
844,1,10,33
844,1,11,23
844,1,12,34
930,1,1,30
930,1,2,40
930,1,3,28
930,1,4,38
930,1,5,33
930,1,6,26
930,1,7,34
930,1,8,21
930,1,9,46
930,1,10,32
930,1,11,25
930,1,12,36
945,1,1,37
945,1,2,39
945,1,3,25
945,1,4,20
945,1,5,35
945,1,6,17
945,1,7,14
945,1,8,27
945,1,9,47
945,1,10,13
945,1,11,44
945,1,12,31
620,1,1,41
620,1,2,50
620,1,3,26
620,1,4,28
620,1,5,46
620,1,6,57
620,1,7,20
620,1,8,36
620,1,9,35
620,1,10,45
620,1,11,30
620,1,12,34
527,1,1,43
527,1,2,45
527,1,3,68
527,1,4,53
527,1,5,61
527,1,6,66
527,1,7,54
527,1,8,46
527,1,9,40
527,1,10,46
527,1,11,38
527,1,12,47
75,1,1,36
75,1,2,24
75,1,3,39
75,1,4,24
75,1,5,35
75,1,6,32
75,1,7,46
75,1,8,40
75,1,9,23
75,1,10,30
75,1,11,35
75,1,12,19
156,1,1,35
156,1,2,33
156,1,3,49
156,1,4,39
156,1,5,27
156,1,6,25
156,1,7,42
156,1,8,48
156,1,9,21
156,1,10,41
156,1,11,34
156,1,12,28
711,1,1,35
711,1,2,35
711,1,3,36
711,1,4,39
711,1,5,34
711,1,6,29
711,1,7,47
711,1,8,49
711,1,9,46
711,1,10,39
711,1,11,39
711,1,12,46
908,1,1,27
908,1,2,19
908,1,3,28
908,1,4,33
908,1,5,26
908,1,6,25
908,1,7,32
908,1,8,11
908,1,9,30
908,1,10,22
908,1,11,15
908,1,12,43
828,1,1,27
828,1,2,38
828,1,3,33
828,1,4,20
828,1,5,25
828,1,6,41
828,1,7,29
828,1,8,22
828,1,9,46
828,1,10,32
828,1,11,39
828,1,12,28
860,1,1,40
860,1,2,33
860,1,3,44
860,1,4,45
860,1,5,31
860,1,6,27
860,1,7,20
860,1,8,37
860,1,9,37
860,1,10,30
860,1,11,26
860,1,12,31
174,1,1,21
174,1,2,23
174,1,3,28
174,1,4,25
174,1,5,20
174,1,6,15
174,1,7,14
174,1,8,19
174,1,9,26
174,1,10,23
174,1,11,15
174,1,12,30
300,1,1,34
300,1,2,37
300,1,3,41
300,1,4,43
300,1,5,21
300,1,6,29
300,1,7,38
300,1,8,49
300,1,9,48
300,1,10,38
300,1,11,19
300,1,12,33
645,1,1,32
645,1,2,33
645,1,3,47
645,1,4,41
645,1,5,31
645,1,6,38
645,1,7,48
645,1,8,35
645,1,9,38
645,1,10,46
645,1,11,54
645,1,12,35
631,1,1,21
631,1,2,34
631,1,3,32
631,1,4,27
631,1,5,32
631,1,6,30
631,1,7,26
631,1,8,32
631,1,9,33
631,1,10,28
631,1,11,43
631,1,12,39
165,1,1,22
165,1,2,50
165,1,3,51
165,1,4,55
165,1,5,49
165,1,6,50
165,1,7,47
165,1,8,48
165,1,9,43
165,1,10,56
165,1,11,41
165,1,12,42
926,1,1,52
926,1,2,70
926,1,3,63
926,1,4,49
926,1,5,64
926,1,6,45
926,1,7,48
926,1,8,67
926,1,9,36
926,1,10,53
926,1,11,37
926,1,12,51
315,1,1,41
315,1,2,39
315,1,3,26
315,1,4,31
315,1,5,22
315,1,6,45
315,1,7,28
315,1,8,35
315,1,9,41
315,1,10,21
315,1,11,33
315,1,12,47
80,1,1,41
80,1,2,47
80,1,3,28
